MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20260101,Marc Pittonet,Carlton,8,7.9,0.3,2.4,18.7,13.45,10.1,4.5,7.5,2.5,0,110,78,0.01,0,74,6,7,13,69.2,136,155,1,0,3,9,0,11,4,4,2,3,2,0,0,0,83,6,5,50,25,11,2,1,1,7.1,-0.1,0,8,6
20260101,Jayden Short,Richmond,2.6,4.1,2.5,9.5,18.7,8.1,1.3,14.7,6.1,11.1,6,134,114,0.3,3,83,23,6,29,79.3,753,350,5,5,0,9,4,6,5,4,3,7,5,10,1,0,0,1,0,0,0,0,2,1,0,5.4,0.6,0,9,4
20260101,George Hewett,Carlton,9.7,2.9,5.7,0.3,18.6,11.5,6.2,8.2,8.6,5.4,0,117,92,0.07,1,67,8,15,23,87,149,386,2,2,4,16,0,12,8,5,4,7,5,5,1,1,70,5,6,0,0,0,1,1,0,4.1,1.9,0,6,1
20260101,Toby Nankervis,Richmond,6.6,4.7,3,4.2,18.6,12.85,9.9,3.7,8.6,5.3,0,103,79,0.01,0,76,9,12,21,81,174,389,1,3,2,10,0,12,8,4,3,7,3,1,0,0,87,7,7,57,22,7,0,0,0,0,0,0,4,2
20260101,Mitch McGovern,Carlton,8.7,5,-1.1,3.5,16,9.46,0,14.4,9.2,5.3,0,106,75,0.01,0,82,11,4,15,73.3,346,109,4,4,1,8,1,9,5,9,5,4,3,6,0,2,0,0,0,0,0,0,2,2,0,6.5,5.5,1,5,0
20260101,Zac Williams,Carlton,6,2.8,-0.1,6,14.6,10.91,2.3,11.6,4.7,9.2,0,103,69,0.01,0,68,12,5,17,94.1,405,189,2,2,2,9,3,5,3,5,3,5,4,3,0,1,0,1,1,0,0,0,1,1,0,3,3,0,2,1
20260101,Jacob Weitering,Carlton,4.4,4,3.4,2.6,14.4,9.64,0,14.1,7.9,-0.2,1,72,43,0,0,95,7,2,9,66.7,243,64,0,2,1,6,0,6,2,6,2,0,8,5,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0
20260101,Sam Lalor,Richmond,2.3,3.9,6.2,1.6,14.1,8.82,2.3,10.4,8.1,5.8,0,75,68,0.04,0,76,12,4,16,75,450,88,5,5,1,16,0,9,5,5,3,4,2,4,1,2,65,4,2,0,0,0,3,2,1,10.1,2.9,0,4,0
20260101,Rhyan Mansell,Richmond,5.6,3,4.9,0.1,13.7,7.3,0,13.2,4.4,8.7,0,85,79,0,0,82,9,3,12,58.3,262,132,3,4,4,12,0,5,4,5,4,1,0,7,0,1,0,0,0,0,0,0,3,2,0,5.3,6.7,1,7,0
20260101,Tim Taranto,Richmond,4,3.7,3.8,2,13.6,11.35,5.5,2.4,8.1,0.6,2,107,81,0.52,6,83,8,21,29,69,329,467,5,3,1,20,0,15,12,3,2,10,2,4,0,0,91,7,9,0,0,0,0,0,0,0,0,1,7,1
