MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20262202,James Sicily,Hawthorn,-0.6,0.4,2.9,3.8,6.4,10.28,-0.6,5.4,5.6,-0.1,65,56,84,10,8,18,83.3,279,170,1,2,1,9,3,7,4,7,4,5,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20262202,Darcy Wilmot,Brisbane,0.8,1.8,1.3,1.6,5.5,10.88,0,2,0.4,0.5,75,80,78,14,5,19,84.2,280,243,2,2,4,12,3,1,1,1,1,6,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,3
20262202,Dayne Zorko,Brisbane,2.6,-0.2,1.1,2,5.5,10.87,-0.9,7,1.1,5.8,92,97,89,23,2,25,72,540,261,1,3,0,15,5,1,1,1,1,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
20262202,Mitch Lewis,Hawthorn,2.3,0.5,0.8,1.8,5.4,7.12,0.5,3.1,4.9,1.3,62,71,73,10,3,13,76.9,204,100,4,4,3,7,0,4,1,4,1,3,1,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0
20262202,Josh Battle,Hawthorn,-1.7,4.1,0.4,2.4,5.1,9.8,0,3.3,3,0.1,62,66,97,11,9,20,70,304,270,1,8,0,11,2,3,3,3,3,8,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
20262202,Darcy Gardiner,Brisbane,2.3,0.7,1.1,0,4.2,6.53,0,3.3,1.7,0.3,24,12,78,3,3,6,83.3,132,55,1,1,0,1,0,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20262202,Daniel Annable,Brisbane,1.1,-1.7,3.7,0.1,3.2,5.35,-1.8,3.6,2.6,2.7,36,30,67,6,3,9,77.8,173,162,3,2,0,7,0,3,3,3,3,4,1,1,0,0,0,0,0,0,0,0,2,1,0,6.2,-0.2,1,4,1
20262202,Sam Butler,Hawthorn,-1.8,1.6,1.5,1.1,2.4,5.19,1.6,-1,2.7,-2.2,45,55,75,10,4,14,42.9,274,124,3,3,2,10,0,4,3,2,1,8,0,2,0,0,13,1,1,0,0,0,2,0,2,8.5,-6.5,2,4,0
20262202,Mabior Chol,Hawthorn,0.2,0,-1.3,3.3,2.2,9.36,0.1,0.8,1.1,-0.8,17,17,80,2,1,3,66.7,70,23,0,1,1,12,0,1,1,1,1,1,1,1,0,0,7,0,0,5,2,1,0,0,0,0,0,0,3,2
20262202,Tom Barrass,Hawthorn,-0.7,0.2,0.2,0.8,0.5,8.52,0,0.1,1.6,-1,25,14,88,2,2,4,100,32,43,0,1,1,8,0,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
