MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20260401,Will Ashcroft,Brisbane,2.5,7.5,5.8,2.3,18.2,13.05,4.4,8.8,8.8,4.3,10,139,127,2.72,75,87,26,10,36,61.1,475,309,4,5,1,16,0,15,10,6,6,12,3,6,0,0,71,6,10,0,0,0,1,1,0,1.7,4.3,0,11,3
20260401,Billy Frampton,Collingwood,2.8,5.1,5.2,5,18.1,7.65,0,16.1,6.1,1.9,0,84,40,0,0,100,5,1,6,100,123,74,1,1,4,12,0,4,1,4,1,0,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
20260401,Dayne Zorko,Brisbane,5.8,0.9,4,6.5,17.2,11.85,0.8,12.7,2.1,12.2,0,111,116,0.17,0,83,23,5,28,85.7,631,401,5,3,1,6,2,2,2,0,0,16,1,9,1,0,0,2,2,0,0,0,1,1,0,2.8,3.2,0,7,0
20260401,Dan Houston,Collingwood,2.1,2.7,5.9,5.1,15.9,9.57,2.2,9,9,3.5,0,101,106,0.03,0,81,18,14,32,81.3,596,446,1,8,2,8,9,10,8,5,4,4,7,6,2,0,0,4,5,0,0,0,0,0,0,0,0,0,6,3
20260401,Zac Bailey,Brisbane,3.5,1.4,3,7.1,15,11.78,4.8,6.4,4.2,7.8,8,107,112,1.35,15,87,17,8,25,72,493,339,7,5,3,13,0,6,3,2,1,8,1,7,0,0,45,4,4,0,0,0,4,2,2,12.4,1.6,3,11,2
20260401,Lachie Neale,Brisbane,3.8,4,-0.2,7.3,14.9,14.16,4.5,3.9,5.5,4.2,2,114,119,0.76,6,88,16,13,29,79.3,346,250,6,2,5,18,0,8,5,2,2,12,1,8,0,0,84,6,6,0,0,0,2,0,1,4,-3,2,8,3
20260401,Kai Lohmann,Brisbane,7.1,-2.1,4.8,4,13.8,8.77,-1.8,11.9,5.9,9.6,3,83,75,0.29,2,75,8,5,13,92.3,198,63,2,4,3,12,0,6,3,4,2,3,1,2,0,1,0,2,1,0,0,0,5,4,1,15.6,9.4,0,6,2
20260401,Jaspa Fletcher,Brisbane,2.1,7.6,2.4,0.9,13,9.72,-1,11.2,7.4,3.6,0,123,97,0.06,0,85,18,9,27,85.2,395,384,2,4,0,10,1,7,7,6,6,9,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
20260401,Josh Dunkley,Brisbane,2.1,2.9,3.7,4.1,12.7,11.72,2.1,9.2,6.9,4.5,0,72,79,0.06,0,78,8,15,23,82.6,131,453,3,1,3,15,0,6,5,4,3,9,5,5,2,0,68,2,4,1,0,0,0,0,0,0,0,0,5,3
20260401,Lachie Schultz,Collingwood,0.6,4.3,5.8,1.8,12.5,9.01,1,9.8,3.4,7.9,0,53,51,0,0,82,6,4,10,80,245,93,2,4,3,26,0,6,5,5,4,2,1,2,0,0,0,0,0,0,0,0,1,1,0,3.2,2.8,0,2,0
20260401,Sam Draper,Brisbane,5.4,-0.7,4.2,3.2,12,10.94,6.1,3.6,10.2,0,1,89,69,0.1,0,67,13,5,18,66.7,346,118,4,3,0,2,0,12,4,6,2,1,4,6,3,3,55,5,7,34,12,4,1,0,0,2.1,-2.1,0,4,2
20260401,Brayden Maynard,Collingwood,-0.3,5.5,4.4,2.2,11.9,9.5,2.2,9,4.7,5.2,0,97,80,0,0,85,16,8,24,79.2,488,235,2,5,1,6,1,7,6,5,4,12,6,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1
20260401,Bruce Reville,Brisbane,1.7,0.6,7.2,2.2,11.7,8.9,0,12.8,3.9,8.5,0,81,78,0.01,0,69,13,2,15,80,399,170,4,2,1,10,0,3,2,3,2,4,2,8,1,1,0,0,0,0,0,0,2,1,1,3.4,3.6,0,5,2
20260401,Josh Daicos,Collingwood,3.4,1.6,4.8,1.6,11.4,10.34,-1.3,7.9,2.9,5.2,0,94,78,0.01,0,75,19,6,25,76,722,192,8,5,2,13,4,5,3,2,1,13,3,2,0,0,42,2,1,0,0,0,0,0,0,0,0,0,5,3
20260401,Darcy Fort,Brisbane,2.4,2.4,2.9,3.6,11.3,10.4,4.8,4.3,5.4,2.9,0,60,48,0,0,54,5,8,13,84.6,118,142,2,1,1,7,0,7,6,3,3,2,3,2,0,0,45,4,3,32,9,3,0,0,0,0,0,0,6,4
20260401,Daniel McStay,Collingwood,6.6,-0.7,-1.1,5.5,10.4,6.62,3.9,6.1,8.8,2.5,0,64,61,0.01,0,88,7,1,8,62.5,147,16,1,3,1,5,0,5,0,4,0,1,0,4,0,3,0,1,1,1,1,0,5,4,1,20.5,4.5,0,5,1
20260401,Jarrod Berry,Brisbane,1.1,1.5,2.2,5.6,10.3,9.59,3.8,5.2,5.6,3.3,0,76,84,0.01,0,79,13,7,20,75,311,167,1,2,3,11,0,8,6,4,3,7,3,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,2
20260401,Ryan Lester,Brisbane,2,0.2,2,6,10.2,9.38,0,6.8,4.5,1.7,0,74,81,0.02,0,90,15,4,19,84.2,412,160,4,4,1,13,0,5,4,5,4,2,9,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2
20260401,Charlie Cameron,Brisbane,1,6.5,0.5,1.9,9.9,7.71,2.1,6.3,3.9,4.5,0,57,45,0,0,72,9,2,11,72.7,132,79,1,1,1,16,0,5,4,4,3,3,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1
20260401,Oscar Allen,Brisbane,6.9,2,-0.7,1.5,9.7,6.27,3.2,6.4,7,3.4,0,87,65,0.03,0,75,8,1,9,66.7,187,59,2,2,1,7,0,5,1,4,1,0,1,5,0,2,0,1,1,7,2,0,5,3,1,18.2,0.8,1,6,1
20260401,Jeremy Howe,Collingwood,3.5,-1.2,1.3,5.9,9.5,8.25,0.2,8.9,6.6,3.1,0,68,53,0,0,91,9,4,13,76.9,317,138,1,2,1,3,1,4,1,4,1,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
20260401,Keidean Coleman,Brisbane,1.3,3.5,1.5,2.9,9.2,9.09,0,9.5,6.2,3.1,0,113,109,0.02,0,83,17,5,22,81.8,279,338,4,0,5,15,0,5,4,5,4,1,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
20260401,Beau McCreery,Collingwood,0.4,2.9,5.9,-0.7,8.5,9.29,2.1,7.1,3.6,5.6,0,68,42,0,0,70,4,8,12,91.7,199,188,3,0,4,27,0,7,4,3,2,2,2,1,0,0,52,1,3,0,0,0,0,0,0,0,0,1,3,0
20260401,Logan Morris,Brisbane,3.8,-1,-0.9,6.4,8.2,8.42,1.1,5.6,7.3,-0.6,4,104,103,0.27,1,79,11,9,20,55,181,41,2,4,1,6,0,7,6,6,5,0,1,9,0,1,0,1,0,0,0,0,7,3,3,20.6,0.4,2,10,0
20260401,Roan Steele,Collingwood,0.2,6.3,1,0.4,8,5.7,0,6.7,3.3,3.4,0,60,53,0,0,73,6,7,13,92.3,138,68,2,1,0,7,0,2,2,2,2,4,0,5,0,0,0,0,0,0,0,0,1,1,0,4,2,0,3,0
20260401,Lincoln McCarthy,Brisbane,0.7,1.5,1.2,4.5,7.9,7.05,0.8,6.2,4.2,2.7,0,59,59,0,0,72,9,1,10,70,221,54,3,1,0,4,0,4,3,3,2,2,1,6,0,1,0,1,1,0,0,0,2,2,0,10.4,1.6,1,5,0
20260401,Darcy Wilmot,Brisbane,2.5,3,-0.3,2,7.2,10.86,0,5.6,3.2,2.2,2,80,77,0.03,0,87,16,5,21,81,177,292,1,1,0,9,2,5,4,4,3,5,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1
20260401,Darcy Cameron,Collingwood,2,3,0.7,1.3,7,12.14,1.4,2.8,4.8,-0.8,0,59,50,0,0,77,4,5,9,66.7,71,172,2,3,1,9,0,6,0,2,0,3,1,2,1,1,52,3,4,46,19,5,0,0,0,0,0,1,2,0
20260401,Edward Allan,Collingwood,1.5,0.6,2.4,2.3,6.7,7.35,0.2,4.4,3.7,2.7,0,50,45,0,0,70,4,10,14,78.6,187,211,0,3,4,24,0,3,3,3,3,7,2,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,2,1
20260401,Ned Long,Collingwood,2.6,0.6,1.5,1.7,6.5,9.69,2.1,0.3,3.7,-1.4,0,69,67,0,0,77,4,18,22,68.2,252,298,3,3,3,23,0,6,5,2,2,13,2,2,0,0,71,3,5,0,0,0,1,0,1,1.8,-0.8,1,5,0
20260401,Oscar Steene,Collingwood,2.8,2,-0.6,1.9,6.1,6.97,3.4,1.9,5.3,0.5,0,41,46,0,0,53,3,7,10,90,74,156,1,1,0,3,0,5,3,2,2,0,4,5,2,0,48,3,2,26,9,2,0,0,0,0,0,0,2,1
20260401,Tim Membrey,Collingwood,1.2,1.7,2.9,0,5.9,5.46,0,5.3,5,-0.3,0,57,44,0,0,83,4,5,9,77.8,110,92,1,2,1,2,0,3,2,3,2,2,1,4,0,1,0,0,0,0,0,0,1,1,0,5.4,0.6,0,2,0
20260401,Jamie Elliott,Collingwood,1.8,0.9,1,2.1,5.8,7.51,0,4.8,3.6,2.1,0,49,49,0,0,82,5,5,10,90,75,66,1,1,1,8,0,2,1,2,1,2,0,5,0,0,0,0,0,0,0,0,1,1,0,5.8,0.2,0,5,0
20260401,Ty Gallop,Brisbane,2.1,1.3,2.5,-1.1,4.8,6.21,0,2.8,1.9,-0.4,0,49,48,0,0,87,9,0,9,77.8,215,44,0,1,0,1,0,2,1,2,1,0,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20260401,Cam Rayner,Brisbane,2.2,2.2,0.9,-0.7,4.7,10.42,1.4,0.9,6.4,-2.7,0,85,68,0.02,0,76,9,8,17,70.6,307,187,5,3,2,7,0,7,4,5,2,6,0,6,0,2,16,2,1,0,0,0,2,0,2,7.3,-5.3,1,9,1
20260401,William Hayes,Collingwood,1.7,0.2,2,0.9,4.7,4.81,0,3.2,0.9,1.9,0,32,21,0,0,59,2,3,5,100,40,115,2,1,0,11,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
