MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20262301,Noah Anderson,Gold Coast,1.5,5.3,5.7,7.5,20,13.56,8.6,11.1,7.5,13.9,105,86,85,15,9,24,83.3,545,229,8,4,4,14,0,10,6,4,4,10,3,4,1,0,75,6,5,0,0,0,0,0,0,0,0,1,7,2
20262301,Ned Moyle,Gold Coast,5.8,2.7,6,3.3,17.8,11.37,9.2,3.6,4.4,3.5,120,88,85,6,4,10,70,157,61,0,0,4,10,0,7,3,1,0,1,1,2,1,1,96,5,7,76,41,13,1,0,1,3.7,-2.7,0,7,7
20262301,Darcy Wilmot,Brisbane,4,5.6,5.2,1,15.7,10.55,1.9,10.9,7.1,5.7,107,76,80,13,10,23,95.7,434,296,2,4,1,9,6,8,6,6,4,5,8,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20262301,Matt Rowell,Gold Coast,6.7,6.1,1.2,0,14,14.21,5.2,3.4,9.6,4.5,118,85,83,17,11,28,60.7,423,259,3,8,4,19,0,19,13,7,7,6,4,3,0,0,88,8,12,0,0,0,1,0,1,2.2,-1.2,0,6,1
20262301,Josh Dunkley,Brisbane,4.7,1.8,1.9,5.4,13.8,11.17,2.7,5.6,6.1,2.1,98,102,80,13,11,24,70.8,428,248,3,3,8,23,0,9,6,7,4,9,3,3,0,0,88,3,4,0,0,0,0,0,0,0,0,0,4,1
20262301,Will Ashcroft,Brisbane,2.9,4.5,-0.9,7.2,13.7,11.99,2.1,10.1,4.9,8.6,120,114,80,19,12,31,71,487,375,5,5,2,10,0,9,8,3,3,10,3,8,0,0,67,4,5,0,0,0,2,1,1,4.5,2.5,1,7,4
20262301,Daniel Rioli,Gold Coast,5.4,4.2,1.4,1.6,12.6,8.92,1.4,9.4,6.4,5.6,90,68,80,10,10,20,90,322,140,1,3,3,12,1,7,7,4,4,8,6,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1
20262301,Charlie Cameron,Brisbane,3.1,0.3,1.6,7.3,12.4,8.85,0.2,12,6.4,5.4,93,87,79,14,3,17,58.8,516,58,6,4,3,10,0,5,4,3,3,3,3,4,0,0,0,1,1,0,0,0,5,2,2,17.5,-3.5,0,6,3
20262301,Levi Ashcroft,Brisbane,0.4,2.7,7.4,1.4,12,8.57,0.4,8.9,6,2.5,140,117,82,14,12,26,92.3,225,475,2,0,4,12,0,6,4,5,3,10,4,9,0,0,21,1,1,0,0,0,2,1,0,7.5,-1.5,1,4,1
20262301,Joel Jeffrey,Gold Coast,-0.5,3.3,5.3,3.7,11.9,8.76,0.3,9.3,7.9,1.5,79,57,70,6,9,15,73.3,151,217,2,1,4,9,0,9,7,7,5,4,5,3,1,1,0,1,2,0,0,0,3,0,1,6.9,-5.9,0,5,1
