MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20261301,Daniel Curtin,Adelaide,6.6,4.9,1.5,7.2,20.1,9.53,6.9,9.9,10.4,6.2,8,116,95,0.42,2,83,17,9,26,69.2,527,322,3,4,3,16,0,14,11,6,5,7,7,5,3,0,0,5,4,0,0,0,2,0,1,4.2,-3.2,1,4,1
20261301,Sam De Koning,Geelong,5.9,2.6,5.1,6.5,20,7.87,12.9,4.5,13,4.2,4,124,90,0.24,1,76,7,18,25,60,196,315,1,4,4,12,0,23,14,6,5,2,5,1,1,1,80,11,15,68,16,3,0,0,0,0,0,1,2,1
20261301,Max Holmes,Geelong,7.1,4.4,3.4,3.8,18.6,14.44,4.9,9.6,7.7,6.2,1,111,110,0.13,0,80,16,14,30,70,474,360,3,6,6,21,1,11,9,6,5,10,7,3,1,0,16,3,4,0,0,0,0,0,0,0,0,0,5,2
20261301,Jack Bowes,Geelong,7.6,-0.6,6,5.3,18.3,9.42,1.2,15.5,6.5,9.1,0,94,84,0.02,0,59,15,4,19,52.6,420,118,4,5,2,9,0,7,5,6,4,8,6,3,1,1,0,2,0,0,0,0,3,2,1,8.5,4.5,0,4,1
20261301,Jordan Dawson,Adelaide,1.8,6.2,4,5.7,17.6,14.67,-0.3,16.3,8.7,7.2,10,114,131,2.79,81,89,17,5,22,59.1,486,186,2,6,9,23,0,8,5,5,2,4,5,7,3,2,64,1,5,0,0,0,4,3,0,11.4,6.6,0,6,2
20261301,Connor O'Sullivan,Geelong,3.8,3.9,6.5,1.8,16,8.73,-0.8,15.4,10.5,2.9,0,106,84,0.03,0,87,17,7,24,79.2,515,131,3,2,1,6,0,11,7,10,6,7,13,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
20261301,Patrick Dangerfield,Geelong,10.5,0.9,1.7,2,15.2,9.48,3.7,7,10.3,1.4,6,89,102,1.45,13,72,18,12,30,46.7,585,196,7,8,1,11,0,16,12,8,6,7,4,4,2,0,76,7,7,0,0,0,2,1,1,4.2,2.8,2,7,2
20261301,Jake Soligo,Adelaide,6.6,2.9,1.2,3,13.7,8.6,3.2,8.8,5.2,6.4,0,69,81,0.03,0,73,13,9,22,63.6,351,154,5,4,5,16,0,8,1,4,1,7,2,0,0,0,48,5,7,0,0,0,0,0,0,0,0,0,3,1
20261301,Jack Martin,Geelong,5.6,4.2,3.1,0.7,13.6,6.66,2.4,6.9,8.9,1.9,0,66,53,0,0,72,6,5,11,81.8,117,119,1,2,2,10,0,8,5,6,3,2,0,3,0,2,0,2,2,0,0,0,3,2,1,13.2,-0.2,0,3,0
20261301,Zac Taylor,Adelaide,5.7,2.3,3.9,1.6,13.4,7.55,1.3,9.6,4,6.6,0,86,69,0,0,81,5,6,11,100,161,173,1,0,6,12,0,6,4,4,3,3,2,4,0,1,4,1,2,0,0,0,1,1,0,2.2,3.8,1,4,2
20261301,Josh Worrell,Adelaide,4.2,0.5,2.5,5.2,12.4,9.92,3.1,6.3,9.4,-1.8,0,99,71,0.01,0,87,10,12,22,81.8,354,276,0,5,2,7,5,11,10,9,9,2,9,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
20261301,Oisin Mullin,Geelong,5.1,2,0.1,5,12.3,7.12,3.6,7.6,3.4,8.4,0,59,55,0,0,78,8,6,14,71.4,322,125,1,3,4,14,0,5,4,2,1,3,2,2,0,0,44,3,2,0,0,0,0,0,0,0,0,0,2,0
20261301,Ben Keays,Adelaide,1.2,0,3.8,6.8,11.7,9.33,5.8,2.1,2.2,5.8,0,73,70,0.02,0,81,12,4,16,50,211,92,3,3,2,23,0,4,4,1,1,3,0,2,0,0,0,4,4,0,0,0,3,2,0,12.4,-0.4,2,4,3
20261301,Oliver Dempsey,Geelong,0.5,2.6,5,3.2,11.3,10.41,0.2,11.4,7.5,3.6,0,73,53,0,0,89,5,9,14,78.6,156,144,3,3,1,8,0,10,7,8,5,3,4,3,0,2,0,1,1,0,0,0,1,1,0,3.2,2.8,0,2,0
