MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
20260601,Nick Daicos,Collingwood,2.9,4.7,3.8,12.7,24.1,15.83,7.8,10.3,10.2,8,10,140,128,2.98,98,94,15,24,39,79.5,449,523,8,5,2,14,0,16,11,7,6,12,3,6,0,0,86,8,6,0,0,0,2,1,1,9.3,-2.3,2,9,2
20260601,Oliver Florent,Carlton,6.6,7,1.2,3.2,17.9,8.89,2,13,3.2,10.8,6,100,85,0.11,0,87,17,6,23,82.6,575,391,2,0,4,13,5,6,6,3,3,8,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,2
20260601,Zac Williams,Carlton,2.8,5,3.1,6.3,17.3,11.12,3.3,11.2,9.5,6.1,0,111,103,0.07,0,73,17,9,26,84.6,361,200,3,1,4,16,1,9,9,6,6,7,7,6,2,0,11,2,3,0,0,0,0,0,0,0,0,1,5,2
20260601,Beau McCreery,Collingwood,4.7,7.9,-1.9,4.9,15.6,9.21,2.3,8.9,4.6,8.4,0,86,74,0.05,0,67,9,6,15,66.7,316,140,4,3,7,25,0,8,5,4,4,5,1,1,0,0,39,3,2,0,0,0,1,1,0,2.2,3.8,0,6,1
20260601,Will Hayward,Carlton,6.8,3.4,2.4,2.9,15.5,6.65,0,12.2,7.6,7.2,0,77,68,0.01,0,75,9,7,16,75,294,125,4,3,2,11,0,7,4,7,4,6,2,5,0,2,0,0,0,0,0,0,2,1,0,4,2,1,7,2
20260601,Darcy Cameron,Collingwood,2,5.5,7.2,0.8,15.5,11.68,2.3,12.4,11.2,4.2,2,96,108,0.07,0,78,14,4,18,72.2,143,184,0,2,5,9,0,10,3,6,2,4,5,6,4,2,25,4,5,47,20,2,0,0,0,0,0,1,6,2
20260601,Marc Pittonet,Carlton,0.6,2.5,4.4,7.4,14.8,13.72,8,3,8.2,0.4,0,83,92,0.04,0,75,11,10,21,42.9,133,171,0,2,4,8,0,12,7,3,2,4,3,2,1,1,86,5,13,57,20,5,0,0,0,0,0,0,5,5
20260601,Matthew Carroll,Carlton,3.4,0.5,4.2,5.9,13.9,7.77,0,10.1,6.1,2.9,0,79,83,0.02,0,87,13,4,17,70.6,385,168,5,3,1,14,0,7,5,7,5,3,5,6,0,1,0,0,0,0,0,0,4,2,1,16.4,-3.4,0,7,0
20260601,Sam Walsh,Carlton,0.2,2.3,5.9,4.4,12.8,12.87,2.9,3.9,6.2,2.7,2,101,107,0.54,1,84,11,17,28,78.6,386,461,5,3,7,28,0,9,8,4,4,10,3,7,0,0,82,4,4,0,0,0,0,0,0,0,0,1,7,2
20260601,Patrick Cripps,Carlton,2.3,4.8,3.6,1.8,12.5,13.13,6.5,2.3,5.7,3.5,0,79,81,0.27,0,81,7,18,25,72,174,253,3,3,6,22,0,11,6,2,2,10,2,2,0,0,89,5,8,0,0,0,0,0,0,0,0,0,4,0
20260601,Jacob Weitering,Carlton,1.3,5,3.1,3.1,12.5,9.6,0,11.8,5.1,2.4,0,100,89,0.02,0,96,13,7,20,80,319,228,0,6,2,6,1,7,6,7,6,4,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
20260601,Jamie Elliott,Collingwood,2,-1.2,2.7,8.6,12,7.18,1.1,9.8,3.3,10.2,4,85,70,0.48,1,87,11,7,18,61.1,200,128,2,4,1,18,0,4,3,2,1,6,3,2,0,0,0,1,1,0,0,0,5,3,1,14.4,4.6,1,9,4
20260601,Patrick Lipinski,Collingwood,3.2,0.8,0.6,6.3,10.9,8.59,0.1,7,6.6,-0.2,3,105,110,0.32,0,79,14,13,27,70.4,363,178,7,5,3,20,0,7,4,5,3,13,5,7,2,0,0,0,1,0,0,0,2,1,1,6.2,0.8,0,6,0
20260601,Scott Pendlebury,Collingwood,2.5,3.3,0.1,4.5,10.4,11.61,5.9,2.5,4.2,3.7,0,96,88,0.11,0,79,10,14,24,87.5,106,446,0,2,3,13,0,5,4,1,1,13,1,6,0,0,75,4,2,0,0,0,0,0,0,0,0,0,2,0
20260601,Jeremy Howe,Collingwood,4.5,-1,6,0.7,10.3,8.71,0,11.6,3.4,8.8,0,93,86,0.04,0,97,20,2,22,100,466,219,1,1,0,4,7,3,1,3,1,5,6,9,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2
20260601,Harry Dean,Carlton,0.1,4.2,2,3.9,10.2,6.97,0.7,8.3,4.5,2.5,0,64,48,0,0,79,7,6,13,84.6,115,178,0,0,0,7,0,5,3,4,2,5,4,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0
20260601,Oscar Steene,Collingwood,3.1,-0.5,1.3,6.4,10.2,7.55,1.5,6,6.3,0.6,0,72,72,0.05,0,72,4,4,8,75,78,87,1,1,3,5,0,3,1,2,0,2,1,4,0,2,75,0,1,30,15,6,2,2,0,10.7,1.3,0,5,1
20260601,Jack Crisp,Collingwood,2.1,1.6,2.4,3.7,9.9,11.86,2.3,3.4,4.4,1.1,0,69,89,0.04,0,83,10,11,21,71.4,371,139,5,5,4,18,0,6,6,4,4,8,2,7,1,0,21,2,1,0,0,0,0,0,0,0,0,0,4,2
20260601,Lachlan Cowan,Carlton,3.1,3.3,1.1,1.8,9.3,6.53,0.4,9.1,3.9,4.5,0,74,84,0.02,0,72,12,8,20,75,410,151,3,2,2,8,0,3,3,3,3,7,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
20260601,Tim Membrey,Collingwood,0.1,3.2,2.7,3.3,9.3,5.25,0,4.9,2,3.5,0,70,52,0.01,0,86,6,3,9,88.9,107,167,2,2,1,10,0,1,1,1,1,2,1,4,0,0,0,0,0,0,0,0,2,2,0,8.7,3.3,2,5,1
20260601,Brayden Maynard,Collingwood,1,2.1,3.2,2.9,9.3,9.74,0,7.1,4.1,1.7,0,80,85,0.02,0,82,14,4,18,77.8,328,178,1,1,4,11,2,5,3,5,3,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20260601,Ben Ainsworth,Carlton,-0.6,2.8,2.3,4.4,9,7.35,0,6.9,1.8,5.8,0,64,75,0.02,0,85,10,9,19,73.7,256,194,3,5,1,9,0,2,1,2,1,12,0,4,0,0,0,0,0,0,0,0,3,2,1,9.6,3.4,1,7,0
20260601,William Hayes,Collingwood,0.7,2,0.8,5.4,8.9,4.86,0,7.3,3.7,3.6,0,46,36,0,0,50,4,2,6,66.7,79,17,1,1,1,8,0,3,2,3,2,1,1,3,1,0,0,0,0,0,0,0,2,1,0,6.6,-0.6,0,3,0
20260601,Harry Perryman,Collingwood,2.6,1.1,1.8,3.3,8.8,7.41,0.9,5.1,4.2,1,3,101,114,0.35,0,83,17,10,27,66.7,443,251,3,4,3,13,0,6,5,4,3,8,6,11,3,1,0,0,1,0,0,0,1,0,1,3.4,-2.4,1,6,3
20260601,Jagga Smith,Carlton,3.4,1,2.8,1.4,8.7,7.7,2.4,2.7,5.4,-0.6,0,64,64,0.02,0,64,9,11,20,70,97,215,2,3,3,16,0,7,5,3,2,11,1,1,0,0,54,4,1,0,0,0,0,0,0,0,0,0,5,0
20260601,Mitch McGovern,Carlton,0.4,0.4,3.4,4,8.2,9.18,0,5.7,1.6,3.9,0,66,54,0.01,0,75,5,2,7,100,101,80,0,0,4,10,0,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,3,3,0,14.6,3.4,1,5,1
20260601,Nic Newman,Carlton,0.3,4.7,2,1.2,8.1,9.68,0,5.2,4.2,1.1,0,76,101,0.02,0,79,18,6,24,79.2,468,292,2,5,4,11,3,4,2,4,2,10,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
20260601,Ned Long,Collingwood,-0.9,4.8,1.3,2.8,8,9.13,5.4,-1.6,3.4,0.4,0,70,87,0.05,0,71,10,12,22,59.1,272,141,3,5,5,21,0,8,7,3,3,7,3,4,0,0,46,4,6,0,0,0,1,0,1,4.9,-3.9,0,3,0
20260601,Francis Evans,Carlton,2.2,-0.4,5.5,0.6,7.9,7.93,0,7,3,5.1,0,63,55,0,0,74,8,2,10,60,292,93,3,4,5,15,0,3,2,3,2,4,1,2,0,0,0,0,0,0,0,0,2,1,0,7.2,-1.2,3,5,0
20260601,Adam Cerra,Carlton,2.3,2.6,0.3,2.6,7.8,10.87,-0.6,4.4,7.2,-3.3,0,71,84,0.03,0,72,11,11,22,54.5,210,187,1,4,4,18,0,9,8,5,5,7,2,4,0,0,57,1,2,0,0,0,1,0,1,3.3,-2.3,0,7,0
20260601,Edward Allan,Collingwood,2.4,1.8,2.9,0.6,7.7,7.71,0.2,6.3,2.6,3.4,0,51,55,0,0,62,6,4,10,90,216,66,1,0,4,15,0,4,3,3,2,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20260601,Angus Anderson,Collingwood,0.1,1.7,0.7,5.1,7.6,5.99,5.6,-1.3,3.7,0.7,0,64,78,0.02,0,69,12,5,17,58.8,311,77,6,5,5,16,0,5,2,3,1,6,1,3,0,0,29,2,2,0,0,0,0,0,0,0,0,2,3,1
20260601,Brodie Kemp,Carlton,5.7,1.1,-0.9,1.3,7.2,6.05,0,4.7,9.7,-1.4,0,69,73,0.02,0,92,10,6,16,68.8,146,158,2,5,0,3,0,7,6,7,6,1,1,8,1,1,0,0,0,0,0,0,3,2,1,11.6,1.4,0,7,0
20260601,Roan Steele,Collingwood,1.7,0.7,0.8,2.7,5.8,5.75,1.7,3,2.4,3.3,0,48,71,0.01,0,73,11,7,18,61.1,274,225,2,4,2,11,0,4,4,2,2,6,2,6,1,0,0,2,1,0,0,0,1,0,1,2.1,-1.1,0,3,3
20260601,Oliver Hollands,Carlton,2.6,3.2,0.3,-0.5,5.6,6.73,-0.4,2.4,2.5,0.3,0,47,62,0.01,0,92,7,9,16,68.8,217,163,1,0,2,10,0,5,4,3,3,6,3,6,0,0,7,1,1,0,0,0,0,0,0,0,0,0,2,0
20260601,Lachie Schultz,Collingwood,3.6,-1.1,1.8,1.3,5.5,8.85,-0.5,3.4,2,1.7,0,54,79,0.01,0,80,10,4,14,64.3,261,83,3,2,4,18,0,2,2,1,1,3,0,8,0,0,0,0,0,0,0,0,2,0,1,6.7,-5.7,0,2,0
20260601,Lewis Young,Carlton,1.4,1.8,-0.5,2.3,4.9,6.52,2,1.1,3.3,-0.7,0,44,43,0,0,64,5,3,8,62.5,154,10,3,3,3,9,0,2,0,2,0,4,2,2,1,2,14,1,1,20,7,3,0,0,0,0,0,0,1,1
20260601,Dan Houston,Collingwood,0.5,0,2.9,1.5,4.9,9.43,1.5,2.3,2.7,1.7,0,87,110,0.05,0,75,18,7,25,88,274,277,3,1,2,12,0,2,2,1,1,8,2,12,1,0,0,1,0,0,0,0,1,0,1,2.3,-1.3,0,4,0
20260601,Billy Frampton,Collingwood,1.4,0.9,0.6,1.7,4.5,8.62,0,4.5,2.5,0.3,0,54,71,0.01,0,96,10,4,14,85.7,123,23,0,1,1,4,0,3,1,3,1,1,4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
20260601,Daniel McStay,Collingwood,2.4,0,3.2,-1.2,4.4,7.04,0,4.1,3.2,3.5,0,30,40,0,0,74,5,2,7,57.1,125,65,1,4,0,9,0,1,1,1,1,0,0,5,0,0,0,0,0,0,0,0,2,2,0,4.8,7.2,0,3,0
20260601,Josh Daicos,Collingwood,0,1.7,1.7,0.9,4.3,10.35,-0.5,2.8,3.3,0.6,0,74,97,0.07,0,82,15,11,26,76.9,407,337,4,6,2,6,1,5,5,4,4,12,3,8,0,0,4,0,1,0,0,0,1,0,1,3.6,-2.6,0,6,0
20260601,Isaac Quaynor,Collingwood,0.6,0,1.4,2.3,4.3,8.37,0,4.4,1.7,2.3,0,44,38,0,0,82,7,4,11,90.9,110,117,0,0,0,5,0,2,2,2,2,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20260601,Nick Haynes,Carlton,-0.7,1.5,1,1.6,3.4,9.21,0.6,4.2,5,-1.9,0,63,67,0.01,0,91,11,7,18,61.1,255,217,0,4,1,8,0,6,5,5,4,5,5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1
20260601,Talor Byrne,Carlton,0.5,-1.3,4.1,-1.1,2.2,5.24,-1.2,1.3,4.7,-3.5,0,43,50,0,0,69,5,3,8,62.5,152,126,1,1,3,14,0,4,1,2,0,1,0,4,0,1,0,2,2,0,0,0,2,0,2,7.6,-5.6,0,4,2
