Player	TM	TOT	AVG	PS1	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24
Darcy Wilmot	BRL	4	1%	0%	0%	15%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%
James Tunstill	BRL	1	0%	0%	-	0%	-	-	3%	-	-	0%	-	-	0%	0%	-	0%	0%	-	0%	0%	-	0%	0%	-	-	-	-
Dayne Zorko	BRL	1	0%	-	0%	0%	-	3%	0%	0%	-	-	0%	0%	-	-	-	-	-	-	-	-	0%	0%	0%	-	0%	0%	0%
Patrick Cripps	CAR	541	79%	57%	63%	74%	-	76%	83%	79%	89%	76%	86%	93%	74%	80%	89%	83%	-	88%	69%	83%	84%	89%	80%	74%	68%	75%	82%
Marc Pittonet	CAR	453	76%	64%	78%	83%	-	76%	80%	76%	86%	-	50%	77%	78%	80%	68%	75%	-	75%	83%	74%	-	-	71%	72%	86%	79%	76%
Sam Walsh	CAR	504	74%	57%	84%	87%	-	86%	43%	79%	82%	55%	57%	77%	78%	80%	71%	75%	-	83%	69%	57%	84%	71%	74%	69%	89%	86%	74%
George Hewett	CAR	371	65%	68%	53%	70%	-	66%	77%	-	-	-	-	43%	52%	68%	79%	63%	-	67%	72%	78%	4%	71%	74%	72%	75%	75%	76%
Flynn Riley	CAR	15	60%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60%	-	-	-	-	-	-
Liam Reidy	CAR	83	56%	36%	22%	-	-	-	-	-	-	85%	50%	-	-	-	-	-	-	-	-	-	-	86%	-	-	-	-	-
Jagga Smith	CAR	375	55%	64%	53%	65%	-	52%	23%	30%	54%	12%	46%	30%	52%	52%	54%	63%	-	54%	55%	65%	80%	61%	69%	82%	68%	64%	68%
Hudson O'Keeffe	CAR	19	22%	-	-	17%	-	24%	-	24%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adam Cerra	CAR	113	19%	-	-	-	-	-	73%	67%	57%	52%	36%	33%	26%	0%	0%	0%	-	0%	0%	0%	40%	0%	0%	0%	0%	0%	0%
Cooper Lord	CAR	42	14%	50%	22%	4%	-	-	-	-	-	61%	-	-	-	-	-	-	-	-	-	-	-	0%	0%	0%	0%	0%	0%
Zac Williams	CAR	39	12%	0%	16%	0%	-	0%	-	45%	11%	30%	14%	7%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Harry McKay	CAR	71	12%	0%	0%	0%	-	0%	0%	0%	0%	-	0%	23%	22%	20%	32%	25%	-	25%	17%	26%	40%	0%	-	8%	0%	21%	9%
Lewis Young	CAR	40	9%	0%	0%	0%	-	0%	13%	0%	14%	15%	-	-	-	-	-	-	-	-	-	0%	-	-	29%	21%	14%	-	15%
Ben Ainsworth	CAR	47	7%	0%	0%	0%	-	0%	0%	0%	0%	15%	7%	10%	17%	20%	7%	17%	-	8%	34%	17%	8%	7%	3%	3%	0%	0%	0%
Elijah Hollands	CAR	6	3%	0%	0%	0%	-	21%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Lachlan Cowan	CAR	16	3%	-	-	0%	-	0%	0%	0%	0%	0%	50%	7%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Ashton Moir	CAR	2	2%	4%	3%	-	-	-	-	-	-	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
