Player	TM	TOT	AVG	PS1	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24
Harry Rowston	GWS	140	40%	58%	56%	31%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24%	23%	9%	0%	74%	76%	74%	53%
Leek Aleer	GWS	62	36%	-	-	-	-	-	-	-	-	52%	52%	-	-	-	19%	-	23%	25%	47%	-	-	-	-	-	-	-	-
Toby Bedford	GWS	161	35%	-	-	-	-	-	-	0%	-	12%	0%	13%	0%	7%	42%	-	45%	38%	73%	67%	73%	36%	47%	83%	24%	-	-
Toby Greene	GWS	209	33%	77%	67%	78%	44%	75%	-	26%	-	61%	9%	53%	12%	0%	10%	-	6%	0%	53%	21%	31%	0%	-	-	28%	15%	30%
Jack Ough	GWS	57	33%	23%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27%	35%	36%	50%	26%	-	-	-
Xavier O'Halloran	GWS	112	28%	8%	0%	16%	32%	0%	-	21%	-	36%	43%	-	-	-	-	-	-	-	-	-	46%	36%	71%	43%	44%	-	0%
Jake Riccardi	GWS	73	26%	35%	25%	44%	28%	13%	-	12%	-	-	-	34%	27%	21%	-	-	-	-	-	-	-	-	-	-	-	-	-
Stephen Coniglio	GWS	144	23%	69%	11%	22%	68%	42%	-	21%	-	0%	4%	0%	27%	49%	16%	-	-	8%	10%	0%	12%	0%	3%	0%	44%	78%	14%
Lachie Ash	GWS	87	13%	0%	0%	19%	0%	0%	-	0%	-	0%	61%	31%	46%	0%	0%	-	0%	0%	47%	0%	4%	41%	0%	0%	0%	0%	49%
Ryan Angwin	GWS	48	7%	0%	0%	0%	0%	0%	-	0%	-	0%	0%	-	0%	-	-	-	0%	0%	0%	0%	0%	32%	37%	0%	0%	0%	63%
Conor Stone	GWS	19	6%	0%	-	-	-	-	-	-	-	-	-	-	-	0%	0%	-	0%	0%	13%	0%	-	0%	3%	-	-	37%	9%
Callum Brown	GWS	32	6%	-	0%	0%	0%	0%	-	-	-	-	-	-	-	0%	0%	-	0%	0%	17%	15%	15%	32%	24%	0%	0%	0%	5%
Jake Stringer	GWS	39	5%	0%	0%	0%	4%	0%	-	65%	-	33%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	9%	0%	0%	4%	0%	5%
Toby McMullin	GWS	5	2%	-	-	-	-	-	-	-	-	-	-	0%	0%	0%	3%	-	13%	-	-	-	-	-	-	-	-	0%	0%
Josaia Delana	GWS	3	1%	0%	0%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	-	-	-	0%	0%	11%	0%
Harvey Thomas	GWS	1	0%	0%	0%	0%	0%	0%	-	0%	-	0%	0%	0%	0%	0%	0%	-	0%	0%	3%	0%	0%	-	0%	0%	0%	0%	0%
Phoenix Gothard	GWS	1	0%	0%	0%	0%	0%	4%	-	0%	-	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	-	0%	-	-	-	-	-	-
Jai Newcombe	HAW	560	78%	85%	89%	70%	83%	-	86%	81%	77%	76%	80%	81%	62%	74%	83%	64%	-	79%	87%	83%	76%	70%	79%	83%	73%	73%	80%
Conor Nash	HAW	224	68%	48%	58%	65%	70%	-	52%	74%	80%	76%	77%	81%	-	70%	-	-	-	-	-	-	-	-	-	-	-	-	-
Lloyd Meek	HAW	409	57%	73%	75%	49%	53%	-	41%	41%	43%	41%	40%	41%	38%	30%	40%	48%	-	56%	63%	78%	76%	67%	68%	77%	57%	87%	84%
Will Day	HAW	181	56%	-	-	-	-	-	-	-	-	-	-	-	-	-	47%	72%	-	74%	60%	44%	68%	-	46%	57%	40%	57%	56%
Josh Ward	HAW	386	54%	27%	56%	49%	60%	-	62%	52%	37%	55%	53%	48%	44%	52%	57%	56%	-	53%	63%	50%	48%	74%	54%	60%	53%	73%	68%
Henry Hustwaite	HAW	18	53%	-	-	-	-	-	-	-	-	-	-	-	53%	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cam Mackenzie	HAW	339	52%	30%	-	43%	50%	-	-	48%	50%	45%	43%	48%	65%	52%	50%	60%	-	59%	57%	39%	56%	70%	54%	60%	67%	60%	48%
Ned Reeves	HAW	230	52%	-	-	51%	47%	-	59%	59%	57%	59%	60%	59%	62%	48%	50%	52%	-	41%	37%	-	-	-	-	-	37%	-	-
Connor Macdonald	HAW	198	28%	39%	33%	24%	13%	-	28%	19%	20%	28%	27%	15%	47%	26%	30%	36%	-	26%	30%	22%	24%	44%	32%	17%	30%	20%	32%
Nick Watson	HAW	109	17%	12%	17%	24%	13%	-	17%	19%	13%	21%	13%	15%	24%	22%	33%	12%	-	9%	3%	-	-	15%	21%	13%	20%	13%	16%
Mabior Chol	HAW	66	12%	27%	25%	0%	0%	-	0%	0%	-	-	-	-	-	22%	10%	0%	-	3%	0%	22%	24%	19%	11%	23%	7%	13%	16%
Sam Butler	HAW	26	10%	0%	6%	0%	0%	-	52%	0%	17%	-	-	0%	-	-	-	-	-	-	-	-	-	-	-	-	13%	-	-
Matt Hill	HAW	8	9%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14%	12%	-	-	-	-	-	-
Dylan Moore	HAW	58	8%	15%	22%	11%	0%	-	3%	4%	7%	-	7%	11%	6%	4%	0%	0%	-	0%	0%	47%	4%	11%	11%	10%	3%	3%	0%
Oliver Greeves	HAW	8	8%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12%	15%	4%	0%	-	-	-
Noah Mraz	HAW	10	7%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	0%	15%	21%	-	-	-	-
Josh Weddle	HAW	28	4%	39%	19%	14%	10%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	-	-	-	0%	0%	0%	0%	0%	0%
Blake Hardwick	HAW	1	0%	3%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Jack Ginnivan	HAW	1	0%	0%	0%	0%	0%	-	0%	4%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	-
Max Gawn	MEL	583	78%	90%	-	89%	81%	83%	82%	81%	74%	55%	48%	46%	71%	70%	74%	93%	96%	91%	-	83%	68%	71%	89%	89%	87%	78%	91%
Jack Steele	MEL	579	77%	52%	-	61%	77%	86%	76%	68%	80%	82%	73%	71%	74%	83%	81%	78%	83%	91%	-	83%	79%	89%	80%	78%	71%	78%	81%
Kysaiah Pickett	MEL	555	74%	52%	-	67%	39%	79%	82%	84%	77%	79%	70%	71%	62%	57%	84%	81%	87%	74%	-	81%	64%	86%	74%	81%	76%	78%	88%
Tom Sparrow	MEL	519	69%	43%	-	19%	39%	72%	67%	61%	80%	67%	73%	71%	76%	63%	77%	78%	70%	74%	-	83%	61%	86%	89%	81%	74%	66%	84%
Joel Fitzgerald	MEL	171	55%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61%	48%	-	50%	79%	32%	51%	61%	66%	53%	47%
Max Heath	MEL	87	38%	-	-	-	-	-	-	-	26%	45%	53%	54%	29%	30%	-	-	-	-	-	-	-	29%	-	-	-	-	-
Caleb Windsor	MEL	245	37%	57%	-	56%	52%	45%	76%	45%	49%	73%	73%	64%	-	63%	32%	63%	-	0%	-	3%	18%	7%	-	0%	0%	9%	0%
Aidan Johnson	MEL	9	32%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32%	-	-	-	-	-	-
Trent Rivers	MEL	53	10%	57%	-	44%	10%	-	-	-	-	-	-	-	65%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%
Jai Culley	MEL	21	10%	-	-	0%	10%	10%	0%	32%	14%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Kade Chandler	MEL	51	7%	0%	-	0%	10%	0%	0%	10%	0%	0%	13%	21%	18%	33%	26%	0%	0%	13%	-	0%	0%	0%	6%	-	13%	0%	0%
Jacob van Rooyen	MEL	43	6%	0%	-	0%	6%	14%	0%	10%	0%	0%	0%	0%	0%	0%	26%	0%	0%	0%	-	17%	0%	0%	11%	11%	13%	22%	-
Luker Kentfield	MEL	5	5%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	7%	4%	9%	-	-	-	-	-	-	-	-	-
Koltyn Tholstrup	MEL	31	4%	5%	-	25%	61%	7%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%
Harrison Petty	MEL	19	3%	0%	-	11%	10%	3%	18%	10%	0%	-	0%	0%	0%	0%	0%	0%	0%	-	-	0%	-	-	0%	0%	0%	0%	6%
Christian Salem	MEL	6	2%	0%	-	3%	0%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	0%	16%	0%
Harvey Langford	MEL	15	2%	33%	-	19%	3%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%
Xavier Lindsay	MEL	2	1%	0%	-	6%	0%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%
Tom McDonald	MEL	3	1%	10%	-	-	-	0%	0%	0%	-	-	-	-	-	-	-	0%	-	0%	-	-	-	-	0%	0%	0%	0%	3%
Latrelle Pickett	MEL	1	0%	0%	-	0%	3%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	-	-	-	0%	0%	0%	0%	-	-	-	-
Bailey Laurie	MEL	2	0%	0%	-	-	-	-	0%	-	0%	0%	0%	0%	6%	0%	0%	-	0%	-	-	0%	0%	-	0%	0%	0%	0%	0%
Luke Davies-Uniacke	NTH	585	84%	82%	-	87%	86%	80%	80%	77%	83%	85%	77%	82%	81%	77%	-	81%	79%	85%	91%	86%	93%	86%	92%	87%	89%	87%	74%
Finn O'Sullivan	NTH	404	69%	71%	-	87%	77%	48%	63%	-	-	76%	63%	82%	56%	77%	-	-	-	80%	52%	95%	76%	79%	72%	30%	57%	56%	77%
Tristan Xerri	NTH	379	62%	82%	-	87%	83%	92%	-	-	-	82%	86%	73%	59%	49%	-	55%	25%	10%	-	14%	79%	64%	32%	63%	75%	77%	45%
Harry Sheezel	NTH	406	61%	61%	-	63%	71%	72%	60%	65%	63%	64%	54%	61%	66%	69%	-	84%	71%	50%	65%	62%	52%	61%	80%	30%	57%	26%	-
George Wardlaw	NTH	275	60%	-	-	-	-	48%	67%	54%	53%	55%	-	67%	72%	69%	-	65%	50%	80%	65%	57%	-	-	-	-	57%	49%	52%
Luke Urquhart	NTH	15	54%	54%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Callum Coleman-Jones	NTH	61	36%	18%	-	-	-	8%	60%	62%	57%	-	-	-	-	-	-	-	-	-	13%	-	-	-	-	-	-	-	-
Jy Simpkin	NTH	240	33%	0%	-	0%	26%	4%	7%	69%	83%	0%	63%	0%	16%	0%	-	0%	92%	0%	0%	0%	69%	57%	36%	73%	36%	82%	87%
Taylor Goad	NTH	15	33%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42%	25%	-	-	-	-	-	-	-	-	-
Cooper Trembath	NTH	185	28%	0%	-	13%	17%	0%	40%	38%	43%	18%	14%	3%	6%	31%	-	32%	33%	65%	52%	71%	21%	36%	68%	17%	14%	13%	32%
Wil Dawson	NTH	61	20%	-	-	-	-	-	-	-	-	-	-	24%	34%	20%	-	13%	-	-	35%	14%	-	-	-	20%	11%	10%	23%
Tom Powell	NTH	31	11%	32%	-	30%	29%	4%	0%	8%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Colby McKercher	NTH	62	9%	-	-	30%	11%	32%	10%	8%	0%	6%	6%	0%	0%	0%	-	65%	0%	5%	17%	0%	0%	18%	8%	0%	0%	0%	0%
Paul Curtis	NTH	43	7%	0%	-	0%	0%	0%	10%	15%	17%	12%	14%	9%	9%	6%	-	6%	8%	-	-	-	10%	0%	8%	3%	4%	0%	10%
Luke Parker	NTH	41	6%	0%	-	3%	0%	12%	3%	4%	0%	3%	20%	0%	0%	3%	-	0%	0%	0%	9%	0%	0%	0%	4%	77%	0%	0%	0%
Caleb Daniel	NTH	1	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	3%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Zak Butters	PAD	388	80%	66%	-	83%	76%	83%	87%	84%	83%	96%	92%	78%	93%	60%	-	72%	63%	76%	82%	90%	70%	-	-	-	-	-	-
Jordon Sweet	PAD	447	74%	-	-	-	82%	76%	87%	76%	50%	48%	81%	65%	66%	88%	-	80%	83%	90%	86%	81%	74%	86%	74%	65%	45%	81%	62%
Connor Rozee	PAD	60	60%	80%	-	57%	44%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Jason Horne-Francis	PAD	366	60%	11%	-	27%	50%	66%	30%	44%	60%	70%	73%	65%	59%	64%	-	72%	77%	62%	75%	90%	56%	-	71%	65%	63%	78%	-
Willem Drew	PAD	387	59%	69%	-	70%	71%	79%	87%	60%	80%	56%	77%	70%	83%	80%	-	48%	47%	43%	39%	0%	56%	55%	52%	17%	60%	63%	-
Ollie Wines	PAD	310	58%	-	-	-	-	-	48%	44%	67%	63%	58%	70%	45%	20%	-	44%	40%	-	64%	71%	52%	72%	61%	78%	73%	59%	76%
Will Brodie	PAD	27	42%	-	-	-	-	28%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56%
Alex Van Wyk	PAD	41	37%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55%	19%	38%
Dante Visentini	PAD	139	30%	77%	-	83%	-	-	-	-	50%	52%	19%	35%	34%	-	-	-	-	-	14%	19%	26%	14%	26%	35%	0%	0%	0%
Jack Watkins	PAD	86	24%	66%	-	13%	59%	31%	48%	20%	-	4%	-	17%	10%	24%	-	-	-	-	-	-	-	-	0%	0%	-	-	-
Joe Richards	PAD	131	22%	0%	-	10%	0%	0%	0%	0%	0%	0%	0%	0%	10%	24%	-	48%	67%	48%	4%	29%	22%	45%	-	-	-	81%	74%
Jase Burgoyne	PAD	135	19%	3%	-	7%	0%	10%	0%	28%	3%	0%	0%	0%	0%	28%	-	0%	0%	57%	7%	5%	11%	52%	42%	74%	60%	9%	71%
Miles Bergman	PAD	88	19%	-	-	33%	0%	-	0%	16%	0%	0%	0%	0%	-	-	-	-	-	-	-	0%	0%	76%	74%	65%	28%	0%	9%
Ollie Lord	PAD	11	17%	17%	-	17%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Jackson Mead	PAD	35	12%	0%	-	-	0%	0%	-	-	-	-	-	-	-	-	-	16%	7%	14%	29%	14%	33%	0%	-	-	15%	-	-
Jack Whitlock	PAD	37	6%	6%	-	0%	18%	24%	13%	24%	0%	0%	0%	0%	0%	12%	-	20%	17%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Harrison Ramm	PAD	2	1%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	10%	-	-	-	-	-	0%	0%	0%	0%
Corey Durdin	PAD	8	1%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	3%	6%	15%
Will Lorenz	PAD	2	1%	6%	-	-	-	-	-	-	-	-	-	-	0%	-	-	-	-	-	-	-	-	-	-	0%	0%	-	-
Christian Moraes	PAD	5	1%	-	-	-	-	-	-	-	7%	11%	0%	0%	0%	0%	-	0%	-	-	-	-	-	0%	0%	0%	0%	-	0%
Ewan Mackinlay	PAD	1	0%	0%	-	0%	0%	3%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	-	-	-	-	-	-	-	-	-
Jacob Wehr	PAD	1	0%	0%	-	0%	0%	0%	0%	4%	0%	0%	0%	0%	-	0%	-	0%	-	-	0%	-	0%	0%	-	-	0%	0%	0%
Mitch Zadow	PAD	1	0%	0%	-	-	-	-	0%	-	-	-	-	-	-	-	-	-	-	-	0%	0%	-	0%	0%	0%	0%	3%	0%
Tim Taranto	RCH	475	81%	71%	-	91%	84%	86%	61%	94%	40%	-	-	85%	87%	86%	65%	-	88%	90%	83%	87%	82%	81%	69%	88%	95%	83%	88%
Toby Nankervis	RCH	251	76%	81%	-	87%	56%	-	-	-	-	-	-	-	-	-	-	-	-	80%	73%	74%	75%	81%	81%	80%	74%	75%	76%
Jacob Hopper	RCH	261	72%	67%	-	70%	75%	81%	74%	68%	-	64%	77%	78%	77%	76%	62%	-	64%	-	-	-	-	-	-	-	-	-	-
Jack Ross	RCH	305	56%	57%	-	65%	63%	62%	43%	24%	50%	64%	84%	56%	48%	43%	54%	-	-	-	50%	26%	-	-	65%	68%	74%	50%	76%
Oliver Hayes-Brown	RCH	113	52%	-	-	-	-	-	-	68%	-	-	52%	41%	58%	48%	54%	-	45%	-	-	-	-	-	-	-	-	-	-
Sam Lalor	RCH	168	50%	71%	-	65%	31%	48%	30%	68%	63%	55%	-	-	-	-	-	-	-	-	-	-	-	33%	42%	32%	58%	50%	-
Samson Ryan	RCH	78	48%	-	-	-	-	-	87%	-	80%	48%	-	-	-	-	-	-	-	-	-	-	-	-	-	20%	26%	-	24%
Dion Prestia	RCH	217	46%	-	-	-	47%	5%	74%	44%	67%	67%	6%	-	-	-	27%	-	70%	85%	33%	-	29%	41%	38%	48%	42%	67%	-
Sam Cumming	RCH	173	42%	14%	-	-	-	-	-	-	-	36%	74%	15%	35%	43%	43%	-	30%	75%	70%	48%	29%	52%	38%	24%	-	-	-
Kane McAuliffe	RCH	128	41%	0%	-	9%	-	-	0%	-	53%	15%	58%	44%	-	-	-	-	-	-	-	74%	71%	59%	-	-	-	-	67%
Taj Hotton	RCH	80	30%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	37%	48%	57%	11%	27%	20%	16%	29%	52%
Noah Balta	RCH	131	26%	-	-	0%	0%	0%	-	0%	0%	52%	48%	59%	42%	52%	43%	-	55%	20%	27%	26%	25%	0%	-	-	-	-	-
Seth Campbell	RCH	125	19%	5%	-	0%	0%	14%	0%	3%	13%	0%	0%	22%	52%	52%	46%	-	39%	40%	20%	17%	32%	22%	8%	16%	16%	21%	18%
Campbell Gray	RCH	30	11%	19%	-	13%	-	48%	0%	32%	7%	0%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	0%
Mykelti Lefau	RCH	43	8%	-	-	-	41%	33%	13%	0%	13%	0%	0%	0%	-	0%	3%	-	0%	0%	0%	0%	0%	15%	19%	0%	0%	25%	0%
Sam Grlj	RCH	19	3%	0%	-	0%	0%	5%	17%	0%	13%	0%	0%	-	0%	0%	0%	-	6%	10%	7%	-	0%	4%	12%	0%	0%	0%	0%
Ben Miller	RCH	5	1%	0%	-	0%	3%	19%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	-	-	0%	0%	0%	0%
Tyler Sonsie	RCH	4	1%	14%	-	-	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	-	0%	0%	-	-	-	-	0%	4%	0%	-	-
Maurice Rioli	RCH	1	0%	0%	-	0%	0%	0%	0%	0%	0%	-	-	-	-	-	-	-	3%	0%	0%	-	-	-	-	-	-	-	0%
Sam Banks	RCH	1	0%	0%	-	0%	0%	0%	0%	0%	0%	-	-	-	-	-	3%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Hugo Garcia	STK	450	66%	41%	67%	56%	84%	77%	-	68%	77%	60%	54%	76%	65%	53%	80%	61%	77%	79%	-	63%	70%	77%	60%	69%	36%	75%	59%
Tom De Koning	STK	380	63%	69%	75%	83%	72%	71%	-	64%	52%	50%	61%	64%	55%	60%	63%	55%	71%	38%	-	-	-	-	88%	47%	64%	75%	55%
Nasiah Wanganeen-Milera	STK	287	56%	62%	63%	39%	80%	81%	-	68%	58%	67%	68%	-	-	-	-	64%	29%	21%	-	63%	78%	53%	52%	50%	11%	-	-
Jack Macrae	STK	186	50%	45%	46%	39%	-	-	-	-	-	-	57%	44%	48%	60%	57%	36%	55%	46%	-	-	-	-	-	-	-	54%	62%
Max Hall	STK	306	45%	7%	8%	6%	16%	23%	-	8%	26%	37%	21%	52%	65%	80%	70%	64%	58%	58%	-	78%	81%	30%	40%	28%	79%	75%	69%
Rowan Marshall	STK	276	44%	31%	25%	-	28%	29%	-	36%	48%	50%	39%	36%	45%	40%	37%	45%	29%	54%	-	74%	85%	77%	-	53%	36%	25%	45%
Sam Flanders	STK	143	40%	59%	75%	47%	76%	42%	-	56%	39%	43%	25%	52%	0%	0%	0%	-	-	-	-	-	-	-	-	-	-	-	-
Hugh Boxshall	STK	113	38%	0%	0%	3%	0%	-	-	48%	6%	-	-	-	-	-	-	-	-	-	-	-	-	-	84%	72%	71%	79%	52%
Marcus Windhager	STK	237	33%	28%	0%	58%	0%	39%	-	24%	19%	37%	64%	60%	87%	67%	27%	76%	58%	63%	-	4%	7%	13%	12%	6%	36%	0%	17%
Mattaes Phillipou	STK	195	31%	59%	42%	42%	36%	39%	-	8%	16%	10%	11%	4%	13%	20%	33%	0%	-	-	-	59%	52%	73%	44%	47%	18%	13%	41%
Darcy Wilson	STK	99	15%	0%	0%	0%	0%	0%	-	0%	39%	47%	-	8%	23%	7%	3%	0%	19%	29%	-	26%	11%	53%	8%	22%	46%	0%	0%
Jack Sinclair	STK	28	6%	0%	0%	11%	8%	0%	-	16%	13%	0%	0%	4%	0%	13%	30%	0%	0%	0%	-	-	-	-	-	-	-	-	-
Mitch Owens	STK	27	5%	0%	0%	6%	0%	0%	-	0%	6%	0%	0%	0%	-	-	-	0%	0%	8%	-	33%	4%	20%	12%	6%	0%	0%	0%
Isaac Keeler	STK	4	4%	0%	-	11%	-	-	-	-	-	-	-	-	-	-	0%	-	-	-	-	-	-	-	-	-	-	-	-
Anthony Caminiti	STK	4	1%	0%	0%	0%	0%	-	-	-	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	11%	3%	0%	0%	0%	-	-
Dan Butler	STK	2	1%	-	-	-	-	0%	-	0%	0%	0%	0%	-	-	-	-	-	0%	4%	-	-	-	-	0%	-	-	4%	0%
Ryan Byrnes	STK	1	0%	0%	-	-	-	-	-	-	-	-	-	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	4%	0%	0%
Liam Ryan	STK	1	0%	0%	0%	0%	0%	0%	-	4%	0%	0%	-	-	-	-	-	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	-	0%
Bradley Hill	STK	1	0%	-	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	3%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%
Brodie Grundy	SYD	501	79%	69%	81%	85%	77%	-	94%	74%	-	77%	88%	85%	83%	82%	-	88%	73%	-	69%	88%	86%	81%	68%	84%	-	55%	68%
Isaac Heeney	SYD	449	72%	31%	72%	50%	-	-	74%	93%	-	-	78%	79%	79%	71%	62%	88%	90%	-	83%	71%	86%	67%	71%	69%	53%	77%	-
Justin McInerney	SYD	236	60%	62%	34%	50%	70%	-	61%	78%	-	71%	57%	55%	83%	57%	59%	42%	-	-	-	-	-	-	-	-	-	-	-
Chad Warner	SYD	402	59%	58%	38%	42%	73%	-	61%	85%	-	45%	50%	48%	42%	39%	73%	73%	70%	-	69%	63%	64%	78%	68%	56%	53%	45%	-
William Green	SYD	52	49%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70%	45%	32%
Peter Ladhams	SYD	49	47%	27%	-	-	-	-	-	-	-	-	-	-	-	-	84%	-	-	-	31%	-	-	-	-	-	-	-	-
Errol Gulden	SYD	170	46%	8%	59%	35%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31%	42%	46%	56%	50%	75%	35%	52%	58%
Angus Sheldrick	SYD	219	40%	58%	41%	46%	33%	-	29%	-	-	48%	23%	33%	38%	39%	59%	39%	53%	-	40%	46%	21%	52%	-	-	-	-	29%
James Rowbottom	SYD	240	37%	58%	50%	65%	73%	-	35%	33%	-	45%	53%	27%	29%	18%	32%	27%	17%	-	9%	25%	25%	22%	45%	6%	-	-	87%
James Jordon	SYD	166	25%	23%	6%	0%	23%	-	3%	7%	-	61%	3%	3%	8%	75%	14%	30%	70%	-	0%	54%	57%	22%	29%	16%	18%	32%	-
Hayden McLean	SYD	63	19%	-	-	-	-	-	-	-	-	-	-	12%	-	-	16%	12%	27%	-	-	13%	14%	19%	32%	16%	30%	-	-
Tom Papley	SYD	88	15%	0%	0%	12%	20%	-	32%	4%	-	29%	28%	39%	21%	0%	-	-	-	-	-	-	0%	4%	13%	3%	18%	26%	26%
Joel Amartey	SYD	49	11%	4%	19%	15%	23%	-	6%	26%	-	23%	13%	3%	17%	18%	0%	0%	0%	-	0%	-	-	-	-	-	-	-	-
Jai Serong	SYD	79	10%	0%	0%	0%	0%	-	0%	0%	-	0%	0%	-	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	34%	85%	48%	61%
Braeden Campbell	SYD	17	8%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0%	3%	3%	28%	10%	3%
Callum Mills	SYD	40	5%	0%	0%	0%	0%	-	0%	0%	-	0%	5%	3%	0%	0%	-	0%	0%	-	63%	0%	0%	0%	11%	34%	0%	0%	0%
Caiden Cleary	SYD	8	3%	0%	-	-	3%	-	-	-	-	-	-	-	-	0%	0%	0%	0%	-	0%	0%	0%	-	-	-	-	-	23%
Billy Cootee	SYD	10	3%	-	-	-	-	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-	-	-	5%	3%	5%	6%	10%
Jesse Dattoli	SYD	3	3%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8%	0%	0%
Nick Blakey	SYD	13	2%	4%	0%	0%	0%	-	3%	0%	-	0%	5%	12%	0%	0%	0%	0%	0%	-	6%	0%	0%	0%	5%	0%	0%	3%	-
Matt Roberts	SYD	1	0%	0%	0%	0%	0%	-	0%	0%	-	0%	0%	0%	-	-	-	0%	0%	-	-	0%	0%	0%	0%	0%	0%	0%	3%
Jake Lloyd	SYD	1	0%	-	0%	0%	3%	-	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%
Marcus Bontempelli	WBD	500	78%	82%	46%	66%	68%	-	85%	74%	61%	74%	83%	83%	87%	87%	84%	84%	87%	79%	-	71%	85%	74%	77%	90%	82%	-	81%
Ed Richards	WBD	508	78%	76%	71%	75%	74%	-	-	67%	84%	74%	80%	87%	91%	77%	77%	84%	84%	75%	-	88%	73%	61%	81%	65%	82%	86%	88%
Tim English	WBD	318	70%	82%	83%	84%	77%	-	48%	-	-	-	71%	70%	-	-	58%	76%	74%	79%	-	25%	-	65%	81%	80%	71%	-	-
Lachlan Smith	WBD	29	51%	-	-	-	-	-	-	-	-	71%	-	30%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Matthew Kennedy	WBD	333	47%	67%	66%	56%	61%	-	74%	67%	61%	42%	71%	61%	35%	60%	58%	64%	61%	25%	-	46%	12%	0%	4%	0%	7%	68%	66%
Tom Liberatore	WBD	147	43%	42%	66%	47%	55%	-	-	-	26%	-	-	-	-	-	-	-	-	38%	-	46%	35%	-	42%	60%	21%	43%	-
