Fixture	Venue	Time
Essendon vs. Carlton	MCG	19:20
Collingwood vs. Melbourne	MCG	15:15
Round 14		
Western Bulldogs vs. Adelaide Crows	Marvel Stadium	19:30
Geelong Cats vs. Gold Coast Suns	GMHBA Stadium	19:40
Melbourne vs. Essendon	MCG	13:15
North Melbourne vs. West Coast Eagles	Optus Stadium	16:15
Port Adelaide vs. Sydney Swans	Adelaide Oval	19:35
Richmond vs. Brisbane Lions	Ninja Stadium	13:10
St Kilda vs. GWS Giants	Marvel Stadium	15:15
Round 15		
Fremantle vs. Geelong Cats	Optus Stadium	20:10
Gold Coast Suns vs. Hawthorn	People First Stadium	19:40
Adelaide Crows vs. Melbourne	Adelaide Oval	13:15
GWS Giants vs. Carlton	ENGIE Stadium	16:15
Collingwood vs. Port Adelaide	MCG	19:35
Richmond vs. North Melbourne	MCG	13:10
St Kilda vs. Western Bulldogs	Marvel Stadium	15:15
Round 16		
Thursday, Jun 25- Sunday, Jun 28		
Brisbane Lions vs. Sydney Swans	Gabba	TBD
Carlton vs. West Coast Eagles	Marvel Stadium	
Collingwood vs. Richmond	MCG	
Hawthorn vs. GWS Giants	MCG	
North Melbourne vs. Essendon	Marvel Stadium	
Port Adelaide vs. Adelaide Crows	Adelaide Oval	
Fremantle vs. Gold Coast Suns	Optus Stadium	
Round 17		
Thursday, Jul 2 – Sunday, Jul 5		
Essendon vs. St Kilda	Marvel Stadium	TBD
Geelong Cats vs. Brisbane Lions	GMHBA Stadium	
Gold Coast Suns vs. Collingwood	People First Stadium	
GWS Giants vs. Fremantle	Manuka Oval	
Hawthorn vs. Melbourne	UTAS Stadium	
Richmond vs. Carlton	MCG	
Sydney Swans vs. Western Bulldogs	SCG	
Port Adelaide vs. North Melbourne	Adelaide Oval	
West Coast Eagles vs. Adelaide Crows	Optus Stadium	
Round 18		
Thursday, Jul 9 – Sunday, Jul 12		
Brisbane Lions vs. Essendon	Gabba	TBD
Carlton vs. Hawthorn	MCG	
Collingwood vs. North Melbourne	Marvel Stadium	
GWS Giants vs. Geelong Cats	ENGIE Stadium	
Melbourne vs. Richmond	MCG	
St Kilda vs. Port Adelaide	Marvel Stadium	
Western Bulldogs vs. West Coast Eagles	Marvel Stadium	
Adelaide Crows vs. Gold Coast Suns	Adelaide Oval	
Fremantle vs. Sydney Swans	Optus Stadium	
Round 19		
Collingwood vs. Carlton	MCG	TBD
Essendon vs. GWS Giants	Marvel Stadium	
Geelong Cats vs. St Kilda	GMHBA Stadium	
Gold Coast Suns vs. Western Bulldogs	People First Stadium	
North Melbourne vs. Melbourne	Marvel Stadium	
Richmond vs. Hawthorn	MCG	
Sydney Swans vs. Adelaide Crows	SCG	
Port Adelaide vs. Fremantle	Adelaide Oval	
West Coast Eagles vs. Brisbane Lions	Optus Stadium	
Round 20		
Brisbane Lions vs. Port Adelaide	Gabba	TBD
Carlton vs. Gold Coast Suns	Marvel Stadium	
GWS Giants vs. Sydney Swans	ENGIE Stadium	
Hawthorn vs. Essendon	MCG	
North Melbourne vs. St Kilda	Marvel Stadium	
Melbourne vs. Geelong Cats	MCG	
Western Bulldogs vs. Richmond	Marvel Stadium	
Adelaide Crows vs. Collingwood	Adelaide Oval	
Fremantle vs. West Coast Eagles	Adelaide Oval	
Round 21		
Carlton vs. Brisbane Lions	Marvel Stadium	TBD
Collingwood vs. Geelong Cats	MCG	
